hour_of_day,transaction_count,fraud_count,fraud_rate,avg_amount,fraud_losses,fraud_rate_percent
0,7695,6,0.0008,60.326,1820.07,0.08
1,4220,10,0.0024,62.6364,1279.32,0.24
2,3328,57,0.0171,70.2586,4517.98,1.71
3,3492,17,0.0049,52.0768,233.91,0.49
4,2209,23,0.0104,77.039,1548.2,1.04
5,2990,11,0.0037,50.6756,1416.67,0.37
6,4101,9,0.0022,65.0603,1007.32,0.22
7,7243,23,0.0032,67.8185,2757.78,0.32
8,10276,9,0.0009,88.7712,430.99,0.09
9,15838,16,0.001,102.8432,1255.41,0.1
10,16598,8,0.0005,109.6731,2349.61,0.05
11,16856,53,0.0031,109.6133,6570.73,0.31
12,15420,17,0.0011,106.0455,3406.54,0.11
13,15365,17,0.0011,98.9594,2194.48,0.11
14,16570,23,0.0014,103.5385,3641.12,0.14
15,16461,26,0.0016,101.9992,2234.09,0.16
16,16453,22,0.0013,103.4832,4505.45,0.13
17,16166,29,0.0018,98.3236,3373.5,0.18
18,17039,33,0.0019,77.2529,6345.14,0.19
19,15649,19,0.0012,77.9865,2114.63,0.12
20,16756,18,0.0011,74.5448,1510.41,0.11
21,17703,16,0.0009,71.661,1029.5,0.09
22,15441,9,0.0006,69.876,1442.0,0.06
23,10938,21,0.0019,68.9133,3143.12,0.19
